"","listing_id","latitude","longitude","street_address","display_address","FullAddress"
"1",7087715,0,0,"145 28 Street","Sunset Park, Brooklyn","145 28 Street,USA"
"2",6997950,0,0,"450 East 83rd Street","450 East 83rd Street apt 21D (Furnished)","450 East 83rd Street,USA"
"3",7174094,0,0,"219 E 28th","Flatiron, Kips Bay, Gramercy","219 E 28th,USA"
"4",6991901,0,0,"247 west 87","west 87","247 west 87,USA"
"5",7072634,0,0,"21 W 106th","106th/Central Park","21 W 106th,USA"
"6",7062134,0,0,"118 W 109th","118 W 109th","118 W 109th,USA"
"7",6896885,0,0,"338 e. 53","e. 53 St","338 e. 53,USA"
"8",6981091,0,0,"1632 Madison Ave","Madison Ave","1632 Madison Ave,USA"
"9",6888639,0,0,"259 Decatur Street","Decatur Street","259 Decatur Street,USA"
"10",6991613,0,0,"246 Mott St ","Mott St","246 Mott St ,USA"
"11",6991620,0,0,"41-42 24th St ","24th St LIC","41-42 24th St ,USA"
"12",7094527,0,0,"Van Sicklen street","88 van Sicklen street","Van Sicklen street,USA"
